Unnamed: 0;ID;Genero;Edad;Profesion;Experiencia laboral;Gastoscore;Family_Size;Generacion;Ingresos anuales brutos;Provincia;Digital_encuesta;Gasto_medio_mensual_cuota;Abandono;Dias_cliente;cluster
3254;CLI3256;1;23;6;2;1;3;2;19063;3;1.581;30;0;441;1
3255;CLI3257;0;29;4;2;1;3;3;20200;12;2.03;30;1;125;1
3256;CLI3258;0;57;0;0;2;4;1;36838;17;0.896;30;0;240;3
3257;CLI3259;1;30;7;2;1;5;3;21641;45;1.284;30;0;334;1
3258;CLI3260;1;35;3;1;1;4;3;20933;7;1.261;30;0;279;1
3259;CLI3261;0;98;8;0;0;2;0;90477;12;1.756;50;0;214;2
3260;CLI3262;1;43;0;0;2;2;3;60879;43;1.1;50;0;361;0
3261;CLI3263;0;45;0;0;2;3;1;110491;33;1.307;30;1;262;3
3262;CLI3264;1;29;3;2;1;3;3;22225;45;2.892;30;0;582;1
3263;CLI3265;1;50;0;0;1;2;1;124972;2;1.326;50;0;558;0
3264;CLI3266;0;44;7;0;1;1;1;57768;5;1.307;50;0;259;2
3265;CLI3267;0;29;0;2;1;2;3;20355;44;2.133;30;1;394;1
3266;CLI3268;0;69;3;0;1;1;1;104637;29;0.955;50;0;495;0
3267;CLI3269;0;44;7;0;1;4;1;39572;22;1.445;30;0;219;3
3268;CLI3270;1;58;7;0;1;1;1;58222;9;1.267;50;0;323;2
3269;CLI3271;0;45;5;0;1;1;1;33280;14;1.997;30;0;173;3
3270;CLI3272;0;85;8;0;0;2;0;55784;20;1.502;30;0;230;2
3271;CLI3273;0;35;8;1;1;4;3;22178;13;1.882;30;0;309;1
3272;CLI3274;1;33;0;1;1;1;3;23180;21;1.859;30;1;109;1
3273;CLI3275;0;66;4;0;2;4;1;128509;3;0.915;80;0;563;0
3274;CLI3276;0;65;7;0;2;2;1;79895;4;1.111;50;0;481;0
3275;CLI3277;1;79;7;0;2;3;0;88121;23;1.424;30;1;136;3
3276;CLI3278;1;69;0;0;1;1;1;99055;15;0.642;50;1;159;3
3277;CLI3279;0;46;0;0;1;2;1;28957;21;1.619;30;0;544;0
3278;CLI3280;1;58;2;0;0;2;1;97127;48;1.502;120;0;470;0
3279;CLI3281;1;89;2;0;0;2;0;106665;2;0.896;120;1;108;2
3280;CLI3282;0;84;8;0;0;3;0;112174;9;1.6;80;0;527;2
3281;CLI3283;0;44;7;0;1;1;1;107544;9;1.675;50;0;192;2
3282;CLI3284;0;31;3;2;1;2;3;25485;14;1.1;30;0;180;1
3283;CLI3285;1;30;5;2;1;2;3;23513;4;1.652;30;0;335;1
3284;CLI3286;0;45;4;0;1;1;1;70449;49;1.215;50;0;383;0
3285;CLI3287;1;32;7;1;1;1;3;27413;45;1.928;30;0;332;1
3286;CLI3288;1;47;0;0;1;1;1;118941;1;1.072;50;0;471;0
3287;CLI3289;1;63;7;0;2;4;1;67119;28;1.697;80;0;540;0
3288;CLI3290;0;34;3;1;1;1;3;25380;23;0.778;30;1;184;1
3289;CLI3291;1;75;8;0;1;1;1;91929;22;0.759;50;0;130;2
3290;CLI3292;1;51;2;0;0;4;1;65742;40;0.583;30;0;523;0
3291;CLI3293;1;35;3;1;1;4;3;20755;19;0.893;30;0;586;1
3292;CLI3294;1;56;0;0;2;3;1;50662;19;1.639;30;1;261;3
3293;CLI3295;1;21;3;2;1;4;2;16433;35;2.03;30;0;515;1
3294;CLI3296;0;29;3;2;1;4;3;18458;21;1.857;30;0;106;1
3295;CLI3297;0;35;3;1;1;5;3;21865;22;1.859;30;1;111;1
3296;CLI3298;1;68;5;0;0;2;1;102175;38;1.209;50;1;255;2
3297;CLI3299;1;52;0;0;2;2;1;31763;35;1.404;30;0;589;0
3298;CLI3300;1;31;1;2;2;2;3;26779;26;1.399;30;0;83;1
3299;CLI3301;0;53;7;0;1;1;1;50468;33;1.58;30;1;170;3
3300;CLI3302;1;67;7;0;2;2;1;98252;21;0.915;50;0;244;3
3301;CLI3303;0;28;6;2;1;4;3;21228;43;2.789;30;0;46;1
3302;CLI3304;1;81;8;0;0;2;0;108948;3;0.935;50;1;108;2
3303;CLI3305;1;42;0;0;1;2;3;128907;44;1.583;120;0;297;0
3304;CLI3306;1;31;3;2;0;2;3;23010;27;1.215;30;0;436;1
3305;CLI3307;0;30;4;2;1;1;3;22187;8;1.215;30;0;110;1
3306;CLI3308;1;62;2;0;0;4;1;75986;45;0.955;80;1;317;2
3307;CLI3309;1;28;6;2;1;3;3;31619;39;0.995;30;1;284;1
3308;CLI3310;0;41;0;1;1;2;3;88631;35;1.261;50;1;314;3
3309;CLI3311;0;55;5;0;2;2;1;90044;45;0.74;50;0;222;3
3310;CLI3312;0;53;0;0;1;1;1;119381;26;1.287;50;0;579;0
3311;CLI3313;1;53;0;0;1;1;1;97401;6;0.915;50;0;251;0
3312;CLI3314;1;53;0;0;0;4;1;22887;33;0.837;30;1;260;3
3313;CLI3315;1;43;0;0;2;2;3;47985;22;1.261;50;0;541;0
3314;CLI3316;1;40;0;1;2;2;3;21049;49;1.169;30;1;193;1
3315;CLI3317;1;69;0;0;1;1;1;82782;27;1.385;50;0;333;0
3316;CLI3318;1;40;0;1;2;4;3;79979;30;1.583;30;0;396;1
3317;CLI3319;1;41;0;1;1;2;3;53709;9;1.721;50;0;288;1
3318;CLI3320;1;46;7;0;1;3;1;36230;26;1.737;30;1;219;3
3319;CLI3321;1;43;5;0;0;2;3;62302;19;1.169;30;0;96;1
3320;CLI3322;0;31;2;2;1;1;3;22492;4;0.732;30;1;260;1
3321;CLI3323;1;44;3;0;1;1;1;111293;28;1.744;50;0;337;0
3322;CLI3324;0;97;8;0;1;2;0;98897;27;0.974;50;1;293;2
3323;CLI3325;1;63;2;0;0;2;1;33695;37;0.857;30;1;323;2
3324;CLI3326;0;56;0;0;2;3;1;73124;37;0.857;80;0;507;0
3325;CLI3327;0;47;4;0;2;5;1;89177;34;1.6;30;1;133;3
3326;CLI3328;0;31;6;2;1;4;3;30379;20;2.043;30;0;526;1
3327;CLI3329;0;46;1;0;2;4;1;121125;19;0.955;200;0;465;0
3328;CLI3330;1;20;3;2;1;7;2;18513;38;14.775;30;0;553;4
3329;CLI3331;0;30;4;2;1;2;3;20017;27;0.962;30;0;181;1
3330;CLI3332;0;68;0;0;2;3;1;100783;3;1.6;80;0;569;0
3331;CLI3333;1;75;0;0;1;1;1;61907;16;1.756;30;0;579;0
3332;CLI3334;1;46;7;0;2;2;1;109963;25;1.346;50;0;257;0
3333;CLI3335;1;20;3;2;1;4;2;23005;35;2.409;30;0;403;1
3334;CLI3336;1;51;0;0;1;2;1;111549;12;0.564;50;1;304;3
3335;CLI3337;0;53;0;0;0;4;1;32976;4;1.013;30;0;161;3
3336;CLI3338;1;39;7;1;1;2;3;27669;34;0.985;30;0;171;1
3337;CLI3339;1;62;7;0;2;2;1;107374;6;0.583;50;0;597;0
3338;CLI3340;0;97;8;0;1;1;0;123084;8;1.189;50;0;269;2
3339;CLI3341;1;28;4;2;2;3;3;31730;10;1.098;30;0;302;1
3340;CLI3342;0;47;5;0;1;1;1;112382;20;1.209;50;0;492;0
3341;CLI3343;1;28;3;2;1;4;3;28163;30;1.616;30;1;101;1
3342;CLI3344;0;86;8;0;1;1;0;111919;15;0.583;120;0;110;2
3343;CLI3345;0;58;0;0;2;6;1;79736;35;0.935;30;0;70;3
3344;CLI3346;1;36;5;1;2;2;3;31493;45;1.376;30;0;210;1
3345;CLI3347;1;54;0;0;1;1;1;67079;33;0.681;50;0;231;3
3346;CLI3348;0;34;3;1;1;4;3;20571;7;1.307;30;1;186;1
3347;CLI3349;1;72;5;0;1;1;1;122150;20;1.756;50;0;163;2
3348;CLI3350;1;56;7;0;2;2;1;84641;33;1.267;50;1;377;3
3349;CLI3351;1;21;5;2;1;2;2;14815;13;1.374;30;0;440;1
3350;CLI3352;1;45;0;0;2;3;1;115888;1;1.1;30;0;572;0
3351;CLI3353;0;63;5;0;1;2;1;106524;15;1.17;50;0;384;0
3352;CLI3354;0;39;0;1;2;2;3;31454;27;1.238;30;1;289;1
3353;CLI3355;0;44;4;0;1;1;1;22689;26;2.066;30;0;345;3
3354;CLI3356;1;29;3;2;1;5;3;24630;7;1.167;30;0;182;1
3355;CLI3357;1;95;8;0;1;2;0;65809;8;1.248;50;0;514;2
3356;CLI3358;1;57;0;0;2;2;1;28268;22;1.326;30;0;249;3
3357;CLI3359;0;55;4;0;2;2;1;86003;37;1.424;50;1;241;3
3358;CLI3360;1;90;8;0;0;2;0;39883;19;0.857;30;1;140;2
3359;CLI3361;1;45;0;0;2;2;1;26422;29;2.043;30;0;134;3
3360;CLI3362;1;40;7;1;2;2;3;79076;18;1.215;50;0;584;0
3361;CLI3363;1;24;5;2;0;9;2;18293;17;2.409;30;0;69;1
3362;CLI3364;0;25;3;2;1;7;2;23520;14;2.651;30;0;464;1
3363;CLI3365;0;30;4;2;1;4;3;26476;8;1.077;30;1;327;1
3364;CLI3366;0;83;8;0;1;2;0;107014;4;0.642;50;1;195;2
3365;CLI3367;1;35;3;1;1;3;3;22501;3;1.514;30;0;489;1
3366;CLI3368;0;56;0;0;2;2;1;104235;16;1.385;50;0;409;0
3367;CLI3369;0;64;0;0;2;4;1;109945;41;0.583;80;1;214;3
3368;CLI3370;0;55;0;0;2;2;1;88729;28;1.189;50;1;188;3
3369;CLI3371;1;61;1;0;2;4;1;86601;46;0.779;80;1;296;3
3370;CLI3372;0;33;4;1;1;1;3;30220;30;1.1;30;0;288;1
3371;CLI3373;1;32;0;1;1;1;3;28304;45;1.422;30;1;118;1
3372;CLI3374;0;76;0;0;2;2;1;63057;35;1.072;50;0;539;0
3373;CLI3375;0;45;6;0;0;5;1;37042;2;1.859;30;0;207;2
3374;CLI3376;1;52;2;0;0;5;1;99928;39;1.561;30;0;357;2
3375;CLI3377;1;84;8;0;1;1;0;118788;32;1.111;50;0;253;2
3376;CLI3378;1;23;3;2;1;3;2;18232;39;1.995;30;0;200;1
3377;CLI3379;0;33;0;1;1;1;3;19067;42;0.732;30;1;359;1
3378;CLI3380;1;39;7;1;2;2;3;29288;16;0.755;30;0;485;1
3379;CLI3381;1;36;0;1;1;5;3;18838;23;1.284;30;0;187;1
3380;CLI3382;1;28;4;2;1;3;3;27664;0;2.823;30;1;259;1
3381;CLI3383;0;34;3;1;1;4;3;23692;28;1.146;30;0;573;1
3382;CLI3384;0;28;4;2;2;5;3;30267;33;1.167;30;1;365;1
3383;CLI3385;0;42;0;0;1;3;3;60033;4;1.215;30;1;183;3
3384;CLI3386;1;62;0;0;1;2;1;43583;40;1.561;50;0;326;3
3385;CLI3387;0;23;3;2;1;3;2;17392;26;2.202;30;1;203;1
3386;CLI3388;0;52;7;0;1;2;1;80120;0;1.541;50;0;401;0
3387;CLI3389;1;57;2;0;2;6;1;119473;19;1.658;30;1;157;3
3388;CLI3390;0;69;0;0;0;3;1;124207;7;1.541;80;1;326;2
3389;CLI3391;0;43;0;0;0;3;3;24402;34;1.192;30;0;174;1
3390;CLI3392;0;22;3;2;1;1;2;18461;33;2.444;30;1;313;1
3391;CLI3393;1;23;3;2;1;4;2;20760;38;1.236;30;0;518;1
3392;CLI3394;1;46;7;0;1;5;1;68680;35;0.896;30;0;481;0
3393;CLI3395;1;42;5;0;1;5;3;103981;12;1.1;30;0;161;3
3394;CLI3396;0;47;3;0;1;1;1;91804;25;0.896;50;0;263;0
3395;CLI3397;0;31;1;2;1;1;3;30578;30;1.997;30;1;199;1
3396;CLI3398;1;23;3;2;1;4;2;23331;1;2.892;30;0;451;1
3397;CLI3399;1;55;0;0;2;2;1;81757;39;1.033;50;0;75;3
3398;CLI3400;1;79;7;0;2;2;0;55591;18;0.837;50;0;354;2
3399;CLI3401;1;28;3;2;1;5;3;29928;21;0.995;30;0;36;1
3400;CLI3402;1;64;0;0;0;2;1;53721;33;1.482;50;1;339;2
3401;CLI3403;0;41;0;1;0;3;3;27718;16;1.56;30;1;242;1
3402;CLI3404;1;25;3;2;1;5;2;24131;47;1.029;30;0;275;1
3403;CLI3405;1;89;2;0;0;2;0;32304;41;0.994;30;0;364;2
3404;CLI3406;0;25;3;2;1;3;2;30856;32;14.775;30;0;421;4
3405;CLI3407;1;85;8;0;0;2;0;55450;47;0.779;30;1;398;2
3406;CLI3408;0;36;5;1;1;2;3;21226;15;0.916;30;0;142;1
3407;CLI3409;1;39;7;1;2;3;3;28875;19;1.767;30;0;334;1
3408;CLI3410;1;28;3;2;1;3;3;20761;24;1.857;30;0;130;1
3409;CLI3411;1;24;3;2;1;3;2;18099;43;2.789;30;1;297;1
3410;CLI3412;0;46;4;0;0;4;1;32529;1;1.717;30;0;459;2
3411;CLI3413;0;28;2;2;1;3;3;20100;4;2.202;30;0;395;1
3412;CLI3414;1;36;3;1;1;5;3;26742;48;1.767;30;0;250;1
3413;CLI3415;1;56;7;0;2;5;1;59943;36;1.482;30;0;210;3
3414;CLI3416;0;34;6;1;1;4;3;20827;49;0.709;30;0;534;1
3415;CLI3417;0;35;7;1;1;5;3;30985;41;1.56;30;0;90;1
3416;CLI3418;1;35;5;1;1;1;3;25229;43;1.399;30;1;252;1
3417;CLI3419;0;50;6;0;1;1;1;63551;4;0.564;30;0;405;2
3418;CLI3420;1;41;4;1;1;3;3;67290;23;1.698;30;1;288;1
3419;CLI3421;0;25;3;2;1;4;2;22530;13;2.616;30;1;160;1
3420;CLI3422;0;57;0;0;1;1;1;50019;17;1.385;50;1;281;3
3421;CLI3423;0;46;4;0;2;2;1;99727;15;1.443;120;0;596;0
3422;CLI3424;1;65;2;0;0;5;1;38407;2;0.583;30;1;146;3
3423;CLI3425;0;73;0;0;2;3;1;103841;25;1.678;80;0;599;0
3424;CLI3426;1;87;8;0;1;1;0;92739;49;0.818;120;0;426;2
3425;CLI3427;0;57;4;0;2;4;1;45982;44;0.896;30;0;378;3
3426;CLI3428;1;52;2;0;0;5;1;22846;40;1.15;30;0;140;3
3427;CLI3429;1;46;0;0;2;3;1;102081;19;1.717;80;0;473;0
3428;CLI3430;1;53;0;0;2;4;1;123200;21;1.15;80;0;540;0
3429;CLI3431;1;92;8;0;0;2;0;33263;12;1.306;30;1;173;2
3430;CLI3432;0;43;0;0;1;1;3;49039;12;1.652;50;1;155;3
3431;CLI3433;1;67;6;0;0;2;1;60559;27;0.681;30;0;488;2
3432;CLI3434;0;51;0;0;0;2;1;119639;2;1.209;120;1;292;0
3433;CLI3435;0;36;4;1;2;2;3;31742;7;1.951;30;0;516;1
3434;CLI3436;0;34;6;1;0;4;3;21505;10;1.031;30;1;106;1
3435;CLI3437;0;45;7;0;0;2;1;99651;38;1.652;120;0;203;2
3436;CLI3438;1;35;5;1;2;2;3;26843;36;1.1;30;1;133;1
3437;CLI3439;1;73;8;0;1;2;1;60284;42;1.482;50;0;229;2
3438;CLI3440;1;22;3;2;1;4;2;12417;22;2.375;30;0;65;1
3439;CLI3441;1;47;4;0;2;2;1;106142;10;0.603;120;0;239;0
3440;CLI3442;1;31;7;2;1;3;3;28452;48;1.767;30;0;34;1
3441;CLI3443;0;42;0;0;2;4;3;53601;48;1.928;30;1;121;3
3442;CLI3444;1;46;3;0;1;2;1;53117;7;0.955;50;1;315;3
3443;CLI3445;1;56;0;0;1;3;1;126215;26;0.837;80;0;339;0
3444;CLI3446;1;86;8;0;1;1;0;103567;20;1.404;50;1;287;2
3445;CLI3447;1;76;7;0;0;3;1;69246;27;1.502;80;1;362;2
3446;CLI3448;0;98;8;0;0;2;0;23429;23;0.681;30;0;488;2
3447;CLI3449;0;52;3;0;2;6;1;33403;4;0.759;30;0;459;3
3448;CLI3450;1;92;8;0;0;2;0;116500;29;0.798;50;0;193;2
3449;CLI3451;0;64;8;0;0;4;1;123825;5;0.915;80;0;173;2
3450;CLI3452;1;23;3;2;1;5;2;20201;7;2.996;30;1;131;1
3451;CLI3453;0;25;4;2;1;1;2;28096;28;3.03;30;0;417;1
3452;CLI3454;1;44;2;0;2;2;1;119613;28;2.066;120;1;346;0
3453;CLI3455;0;21;5;2;1;3;2;19776;10;2.789;30;0;597;1
3454;CLI3456;0;44;8;0;1;1;1;82835;44;1.882;50;0;256;2
3455;CLI3457;0;45;0;0;1;1;1;117748;46;1.284;50;0;537;0
3456;CLI3458;1;57;3;0;1;2;1;112838;1;0.818;50;1;109;3
3457;CLI3459;1;50;2;0;0;4;1;95543;3;11.305;30;0;532;4
3458;CLI3460;1;36;0;1;1;1;3;18614;12;1.813;30;0;458;1
3459;CLI3461;1;47;0;0;1;2;1;109132;37;0.779;50;0;209;3
3460;CLI3462;1;43;5;0;1;2;3;77108;20;1.652;50;0;72;3
3461;CLI3463;1;56;0;0;2;3;1;89921;42;1.58;80;0;599;0
3462;CLI3464;1;39;0;1;0;3;3;18841;38;2.043;30;1;244;1
3463;CLI3465;1;41;2;1;1;1;3;40278;10;1.744;50;0;477;1
3464;CLI3466;0;44;4;0;1;4;1;69092;7;1.652;30;0;302;3
3465;CLI3467;0;31;3;2;1;4;3;27179;0;0.893;30;0;133;1
3466;CLI3468;1;76;6;0;1;1;1;104880;45;1.072;50;1;254;2
3467;CLI3469;1;30;0;2;2;2;3;27249;20;1.836;30;0;209;1
3468;CLI3470;1;68;2;0;0;3;1;81256;37;1.287;80;0;223;2
3469;CLI3471;0;63;0;0;0;2;1;119298;39;0.974;50;0;373;0
3470;CLI3472;1;68;2;0;0;4;1;96974;16;0.994;30;0;34;2
3471;CLI3473;1;31;6;2;1;6;3;21397;0;1.928;30;1;190;1
3472;CLI3474;0;57;0;0;0;3;1;100295;6;1.717;80;0;481;0
3473;CLI3475;0;44;3;0;1;1;1;116960;23;1.422;50;0;402;0
3474;CLI3476;0;58;0;0;1;1;1;91622;21;1.306;50;0;84;3
3475;CLI3477;0;80;8;0;1;2;0;83929;41;1.639;50;0;215;2
3476;CLI3478;0;29;4;2;1;2;3;28915;33;1.512;30;1;110;1
3477;CLI3479;1;58;0;0;2;3;1;56251;14;0.876;80;0;72;3
3478;CLI3480;0;46;5;0;1;1;1;108233;47;1.15;50;0;116;3
3479;CLI3481;0;74;4;0;1;1;1;69409;24;1.678;50;0;507;0
3480;CLI3482;0;77;0;0;2;2;1;31019;26;1.639;30;1;262;3
3481;CLI3483;0;75;0;0;2;3;1;117235;11;1.326;80;0;169;0
3482;CLI3484;1;24;3;2;1;5;2;13005;37;2.064;30;0;154;1
3483;CLI3485;1;72;0;0;1;1;1;115951;27;1.717;50;0;358;0
3484;CLI3486;1;47;0;0;1;4;1;86486;40;0.564;80;0;309;0
3485;CLI3487;1;43;0;0;2;2;3;56870;49;1.123;50;1;282;3
3486;CLI3488;1;98;8;0;0;2;0;46278;43;1.072;30;0;302;2
3487;CLI3489;0;41;7;1;1;2;3;41186;33;1.629;50;0;160;1
3488;CLI3490;1;32;3;1;1;2;3;31228;0;0.893;30;0;228;1
3489;CLI3491;1;30;3;2;1;3;3;18230;31;0.778;30;0;116;1
3490;CLI3492;1;97;8;0;1;1;0;23584;30;1.365;30;1;261;2
3491;CLI3493;0;53;5;0;2;2;1;80501;47;0.974;50;1;307;3
3492;CLI3494;0;77;6;0;0;2;1;122488;23;1.482;120;0;157;2
3493;CLI3495;0;44;0;0;2;1;1;95065;48;1.79;50;0;364;0
3494;CLI3496;1;57;0;0;1;1;1;96620;9;15.215;50;0;109;4
3495;CLI3497;0;28;3;2;1;5;3;24617;6;2.202;30;0;192;1
3496;CLI3498;0;53;0;0;1;2;1;61697;37;0.994;50;1;252;3
3497;CLI3499;0;46;0;0;1;1;1;103903;44;1.013;50;1;160;3
3498;CLI3500;0;55;0;0;0;3;1;119899;48;1.091;80;1;166;3
3499;CLI3501;1;43;0;0;1;1;3;109514;42;1.376;50;1;240;3
3500;CLI3502;1;62;7;0;1;1;1;117454;7;1.287;50;0;345;2
3501;CLI3503;0;74;8;0;2;2;1;23573;0;0.681;30;0;486;2
3502;CLI3504;0;32;3;1;1;8;3;24980;23;1.284;30;0;512;1
3503;CLI3505;1;51;2;0;0;4;1;47812;11;1.658;30;0;112;3
3504;CLI3506;1;34;5;1;1;4;3;19460;36;1.468;30;0;164;1
3505;CLI3507;1;45;0;0;2;2;1;23680;12;1.376;30;1;341;3
3506;CLI3508;1;30;0;2;1;8;3;30478;36;0.801;30;1;365;1
3507;CLI3509;1;62;7;0;2;3;1;26051;10;1.326;30;1;199;3
3508;CLI3510;1;35;1;1;2;2;3;22093;45;1.882;30;0;541;1
3509;CLI3511;0;65;0;0;2;4;1;121995;2;0.564;80;0;549;0
3510;CLI3512;0;96;0;0;1;1;0;59173;25;1.58;50;1;326;2
3511;CLI3513;0;45;3;0;1;3;1;63852;7;1.744;30;1;388;3
3512;CLI3514;0;65;0;0;1;1;1;26904;37;1.013;30;1;308;3
3513;CLI3515;0;61;7;0;2;5;1;28263;8;0.7;30;1;335;3
3514;CLI3516;0;57;0;0;2;3;1;37019;33;1.111;30;0;79;3
3515;CLI3517;0;67;0;0;0;2;1;25289;30;1.15;30;1;281;3
3516;CLI3518;1;51;0;0;1;1;1;49544;3;1.228;50;0;447;0
3517;CLI3519;0;51;4;0;2;2;1;106386;4;1.619;50;0;183;3
3518;CLI3520;1;40;0;1;2;2;3;104055;35;1.353;50;0;425;0
3519;CLI3521;1;40;0;1;2;4;3;77070;5;1.974;30;0;407;1
3520;CLI3522;1;64;2;0;2;4;1;106685;3;1.385;80;1;375;3
3521;CLI3523;1;28;0;2;1;1;3;25511;24;14.775;30;1;339;4
3522;CLI3524;1;72;0;0;0;2;1;39173;6;1.111;50;0;477;2
3523;CLI3525;0;98;8;0;0;3;0;45269;48;1.619;30;0;403;2
3524;CLI3526;1;30;8;2;1;3;3;19121;29;0.916;30;1;362;1
3525;CLI3527;1;43;7;0;1;2;3;34466;37;1.675;30;0;513;1
3526;CLI3528;1;98;2;0;1;3;0;42741;16;1.365;30;1;155;2
3527;CLI3529;0;65;6;0;2;4;1;107124;48;1.091;30;0;158;3
3528;CLI3530;0;52;0;0;1;2;1;93582;18;0.974;50;0;223;3
3529;CLI3531;0;45;0;0;2;2;1;40731;30;1.123;50;1;275;3
3530;CLI3532;1;73;7;0;2;3;1;66815;47;1.072;80;0;201;3
3531;CLI3533;0;21;7;2;1;4;2;22290;13;2.789;30;0;591;1
3532;CLI3534;1;81;8;0;0;2;0;21236;37;1.443;30;1;354;2
3533;CLI3535;1;39;0;1;2;2;3;26031;47;2.043;30;1;202;1
3534;CLI3536;1;55;0;0;2;3;1;77148;37;1.033;80;0;600;0
3535;CLI3537;1;25;7;2;1;3;2;26229;22;1.961;30;0;485;1
3536;CLI3538;0;31;0;2;1;2;3;28429;48;1.721;30;0;342;1
3537;CLI3539;1;65;2;0;0;3;1;89524;16;15.215;80;0;298;4
3538;CLI3540;0;46;5;0;1;1;1;27164;38;0.779;30;0;589;0
3539;CLI3541;1;39;4;1;1;2;3;25375;13;1.376;30;1;110;1
3540;CLI3542;1;62;0;0;2;3;1;46558;33;0.857;30;0;551;0
3541;CLI3543;1;55;7;0;2;4;1;69531;42;0.896;80;0;501;0
3542;CLI3544;1;43;7;0;2;4;3;124832;23;0.686;200;1;165;0
3543;CLI3545;0;50;0;0;2;2;1;63890;1;0.603;50;0;487;0
3544;CLI3546;1;57;0;0;2;4;1;69361;44;1.15;80;1;295;3
3545;CLI3547;1;84;8;0;1;2;0;67940;21;15.215;50;1;112;4
3546;CLI3548;1;40;7;1;1;1;3;86515;12;1.33;120;1;253;0
3547;CLI3549;1;29;5;2;1;2;3;26337;46;2.513;30;0;385;1
3548;CLI3550;1;43;7;0;1;2;3;104857;36;1.629;50;0;250;0
3549;CLI3551;0;20;3;2;1;4;2;23970;10;11.325;30;0;334;4
3550;CLI3552;0;47;3;0;1;2;1;45353;48;1.6;50;0;223;3
3551;CLI3553;1;69;7;0;0;2;1;62285;28;1.463;50;1;364;2
3552;CLI3554;0;40;0;1;1;2;3;105220;43;1.882;50;0;528;0
3553;CLI3555;0;36;3;1;1;3;3;20975;24;1.399;30;0;210;1
3554;CLI3556;0;89;8;0;0;2;0;65808;28;1.091;30;0;372;2
3555;CLI3557;0;41;0;1;1;2;3;86063;2;1.951;50;1;150;3
3556;CLI3558;0;52;0;0;2;4;1;103941;3;1.756;80;1;362;3
3557;CLI3559;1;74;0;0;1;1;1;25349;10;0.896;30;0;176;3
3558;CLI3560;0;40;0;1;1;1;3;96813;0;1.606;50;0;40;3
3559;CLI3561;0;33;7;1;1;3;3;31982;30;0.916;30;0;73;1
3560;CLI3562;1;44;5;0;1;1;1;89477;48;1.422;50;0;481;0
3561;CLI3563;1;21;6;2;1;4;2;18413;29;2.547;30;0;78;1
3562;CLI3564;1;35;3;1;1;1;3;25994;48;1.008;30;1;260;1
3563;CLI3565;0;35;5;1;1;5;3;27978;36;1.744;30;0;108;1
3564;CLI3566;1;36;6;1;1;5;3;31369;26;1.284;30;1;390;1
3565;CLI3567;0;30;3;2;1;7;3;26120;22;1.951;30;1;375;1
3566;CLI3568;0;80;8;0;0;2;0;45085;25;0.7;30;0;82;2
3567;CLI3569;0;32;1;1;0;2;3;29375;0;1.905;30;0;99;1
3568;CLI3570;1;31;7;2;1;3;3;18809;30;1.353;30;0;104;1
3569;CLI3571;1;76;4;0;1;1;1;82709;42;1.482;120;0;324;0
3570;CLI3572;1;36;5;1;1;4;3;22618;22;1.422;30;0;148;1
3571;CLI3573;1;74;6;0;1;2;1;111641;9;1.111;50;0;586;0
3572;CLI3574;1;80;0;0;1;1;0;86538;49;15.215;50;0;221;4
3573;CLI3575;1;46;0;0;1;2;1;111431;35;1.248;50;0;65;3
3574;CLI3576;1;35;3;1;1;2;3;21518;42;1.399;30;0;408;1
3575;CLI3577;1;58;2;0;0;5;1;95530;5;0.661;30;1;169;3
3576;CLI3578;1;46;2;0;0;2;1;99501;35;1.658;50;1;399;2
3577;CLI3579;0;55;0;0;0;2;1;101454;9;1.443;120;0;498;0
3578;CLI3580;0;21;3;2;1;3;2;15031;28;2.03;30;0;262;1
3579;CLI3581;1;90;8;0;1;1;0;102381;23;1.697;50;0;443;2
3580;CLI3582;1;90;2;0;0;2;0;38165;13;0.896;30;0;467;2
3581;CLI3583;0;42;0;0;1;1;3;89912;5;1.399;50;1;344;3
3582;CLI3584;1;30;2;2;1;2;3;31893;1;1.882;30;0;523;1
3583;CLI3585;1;42;5;0;2;5;3;22265;41;1.537;30;0;233;1
3584;CLI3586;0;53;1;0;1;1;1;98040;6;1.6;50;0;143;3
3585;CLI3587;1;24;3;2;1;4;2;12104;17;1.823;30;0;158;1
3586;CLI3588;1;33;0;1;2;2;3;27895;28;2.02;30;0;121;1
3587;CLI3589;1;34;3;1;1;3;3;27556;17;1.077;30;0;296;1
3588;CLI3590;0;39;4;1;0;4;3;20257;2;1.33;30;0;244;1
3589;CLI3591;0;30;4;2;1;6;3;26587;39;1.353;30;0;65;1
3590;CLI3592;1;44;2;0;1;3;1;48689;10;1.054;30;1;124;3
3591;CLI3593;1;68;0;0;1;1;1;33586;9;0.994;30;0;271;3
3592;CLI3594;1;33;3;1;1;2;3;26949;3;1.951;30;0;347;1
3593;CLI3595;1;74;7;0;2;3;1;100453;1;1.619;80;0;393;0
3594;CLI3596;1;42;0;0;1;2;3;113031;37;1.1;50;0;223;0
3595;CLI3597;0;41;0;1;1;4;3;103821;24;0.962;30;0;82;3
3596;CLI3598;0;29;3;2;1;2;3;22686;10;2.651;30;1;380;1
3597;CLI3599;1;67;7;0;2;4;1;81053;32;0.896;80;0;105;3
3598;CLI3600;1;24;7;2;2;3;2;19087;23;2.306;30;0;540;1
3599;CLI3601;0;52;0;0;2;5;1;28362;45;0.72;30;0;423;3
3600;CLI3602;1;74;8;0;0;2;1;110737;25;0.896;50;0;161;2
