Unnamed: 0,Edad,Profesion,Experiencia laboral,Gastoscore,Family_Size,Generacion,Ingresos anuales brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Dias_cliente,Cluster asignado
1959,52,4,0,2,4,1,34276,42,1.639,30,364,2
1960,44,7,0,2,5,1,57062,5,1.997,30,509,0
1961,58,4,0,2,3,1,49734,41,1.189,30,222,0
1962,31,1,2,1,2,3,29078,26,1.077,30,369,2
1963,66,0,0,1,2,1,94320,23,1.189,50,133,1
1964,30,0,2,1,1,3,29036,34,2.066,30,128,2
1965,47,0,0,1,2,1,102329,37,0.72,50,175,1
1966,36,1,1,1,3,3,20885,45,1.307,30,502,2
1967,62,7,0,2,2,1,76727,14,1.326,50,189,3
1968,77,2,0,0,2,1,93315,31,1.482,50,377,1
1969,77,5,0,0,2,1,100481,37,1.639,120,88,1
1970,80,2,0,0,3,0,41440,36,0.642,30,558,0
1971,42,7,0,2,2,3,117431,16,1.422,50,374,4
1972,44,4,0,1,3,1,95669,23,1.698,30,574,1
1973,97,2,0,1,1,0,88449,23,1.541,120,465,1
1974,32,3,1,1,4,3,29812,4,1.123,30,115,2
1975,30,2,2,0,2,3,27759,0,1.353,30,158,2
1976,44,4,0,2,2,1,127102,43,1.192,50,445,4
1977,90,8,0,1,1,0,67780,4,1.697,50,311,3
1978,42,0,0,1,1,3,101980,16,1.859,50,139,1
1979,43,5,0,2,3,3,41881,0,1.905,30,287,0
1980,43,0,0,2,2,3,106785,9,1.422,50,134,1
1981,52,0,0,1,1,1,77517,32,1.091,50,140,3
1982,83,8,0,0,2,0,46585,29,1.052,50,271,0
1983,41,6,1,1,4,3,64371,6,1.721,30,85,3
1984,92,8,0,0,2,0,33254,4,0.857,30,169,2
1985,46,7,0,1,2,1,98233,27,1.58,50,116,1
1986,43,5,0,2,2,3,98777,27,1.307,50,375,1
1987,46,0,0,2,2,1,77370,27,1.385,50,158,3
1988,44,0,0,2,2,1,129165,45,2.066,50,515,4
1989,57,5,0,1,1,1,93148,22,15.215,50,299,1
1990,57,0,0,1,1,1,97997,4,1.091,120,301,1
1991,34,7,1,1,4,3,31758,39,1.399,30,389,2
1992,41,6,1,1,2,3,89828,45,1.468,50,527,1
1993,30,0,2,1,1,3,26745,11,0.893,30,182,2
1994,39,4,1,1,4,3,24470,40,1.859,30,534,2
1995,87,0,0,0,2,0,117570,26,1.091,50,161,4
1996,31,5,2,1,4,3,31853,11,0.939,30,471,2
1997,34,3,1,1,4,3,19845,35,1.215,30,132,2
1998,97,2,0,0,3,0,105675,24,1.365,30,120,1
1999,56,7,0,1,1,1,89921,0,1.639,50,247,1
2000,42,7,0,1,2,3,50620,47,0.663,50,398,0
2001,58,0,0,2,2,1,49205,17,1.228,50,318,0
2002,47,0,0,1,2,1,26337,33,1.678,30,359,2
2003,61,2,0,1,2,1,78555,43,1.287,120,149,3
2004,39,0,1,1,2,3,28265,45,1.56,30,468,2
2005,28,4,2,2,2,3,18940,48,1.823,30,326,2
2006,64,0,0,2,4,1,45489,24,1.463,30,177,0
2007,35,5,1,1,6,3,29847,20,0.962,30,118,2
2008,54,0,0,2,4,1,71842,9,1.17,30,181,3
2009,58,7,0,0,2,1,62588,23,1.678,30,162,3
2010,34,4,1,1,4,3,23299,23,1.054,30,450,2
2011,43,0,0,1,2,3,60625,16,1.123,50,47,3
2012,46,7,0,1,1,1,51435,7,1.072,50,597,0
2013,22,3,2,1,5,2,16535,46,2.789,30,110,2
2014,55,7,0,1,2,1,72870,46,0.759,50,141,3
2015,29,5,2,1,6,3,21186,5,2.685,30,202,2
2016,51,0,0,2,3,1,121793,30,0.74,80,360,4
2017,33,5,1,1,2,3,20545,39,1.928,30,117,2
2018,66,5,0,2,2,1,129721,5,1.385,50,244,4
2019,92,8,0,1,1,0,102218,29,1.052,120,316,1
2020,41,1,1,1,1,3,45918,39,1.537,50,152,0
2021,69,0,0,1,1,1,33440,16,1.209,30,573,2
2022,42,3,0,1,2,3,113161,32,1.008,50,573,4
2023,56,7,0,2,4,1,126484,34,1.424,80,261,4
2024,22,3,2,1,4,2,21122,6,2.513,30,589,2
2025,28,3,2,1,3,3,30106,0,3.065,30,253,2
2026,36,5,1,1,5,3,30611,47,1.031,30,108,2
2027,34,4,1,1,1,3,29801,36,0.916,30,311,2
2028,63,3,0,1,3,1,85947,10,1.404,80,358,1
2029,46,0,0,1,4,1,118415,43,1.639,80,363,4
2030,44,7,0,2,5,1,62263,36,2.066,30,358,3
2031,73,8,0,0,3,1,116880,2,0.837,30,94,4
2032,23,1,2,1,4,2,22128,11,2.892,30,216,2
2033,80,2,0,0,2,0,49725,14,0.876,30,135,0
2034,51,0,0,1,2,1,50363,21,1.756,50,30,0
2035,73,0,0,2,2,1,119395,20,1.737,50,207,4
2036,30,5,2,2,2,3,28953,42,0.87,30,197,2
2037,39,1,1,1,1,3,25182,45,1.606,30,507,2
2038,58,0,0,0,4,1,60361,36,1.678,30,299,0
2039,88,8,0,1,1,0,32354,49,1.267,30,251,2
2040,69,0,0,2,3,1,71440,39,0.583,80,461,3
2041,45,5,0,1,1,1,64199,41,1.468,50,130,3
2042,47,0,0,2,4,1,125635,2,1.619,80,68,4
2043,52,8,0,0,3,1,25971,17,1.561,30,543,2
2044,20,6,2,1,5,2,23490,33,1.236,30,224,2
2045,36,7,1,1,4,3,21834,34,0.824,30,306,2
2046,33,4,1,1,3,3,20220,12,1.928,30,64,2
2047,94,2,0,0,2,0,119343,43,1.561,50,294,4
2048,51,0,0,0,1,1,81747,32,1.013,50,560,3
2049,53,5,0,1,2,1,85521,28,1.678,50,250,1
2050,88,8,0,0,2,0,96148,21,0.564,50,580,1
2051,36,0,1,1,1,3,19594,30,1.054,30,85,2
2052,40,0,1,0,7,3,29763,32,1.859,30,540,2
2053,30,7,2,2,2,3,29653,44,1.606,30,504,2
2054,31,3,2,1,5,3,25700,20,1.353,30,214,2
2055,39,5,1,2,3,3,25972,3,0.847,30,256,2
2056,29,7,2,1,3,3,20936,33,2.651,30,334,2
2057,43,1,0,2,3,3,98355,42,1.123,30,363,1
2058,62,0,0,0,4,1,116448,3,1.248,80,250,4
2059,29,0,2,1,2,3,25500,26,2.685,30,101,2
2060,34,7,1,1,2,3,18386,36,1.491,30,566,2
2061,23,3,2,1,2,2,14617,29,1.547,30,486,2
2062,43,7,0,2,4,3,80460,15,1.376,30,36,3
2063,56,0,0,1,1,1,70885,6,0.759,50,341,3
2064,50,5,0,1,4,1,103880,17,1.619,30,218,1
2065,36,1,1,1,1,3,22299,15,1.146,30,174,2
2066,68,8,0,1,1,1,64939,8,1.717,30,60,3
2067,88,8,0,0,2,0,59377,39,1.033,50,404,0
2068,85,2,0,1,1,0,111683,21,1.424,50,294,4
2069,32,3,1,1,5,3,18050,24,0.801,30,439,2
2070,36,4,1,2,5,3,25167,31,1.238,30,114,2
2071,32,0,1,1,3,3,25016,8,1.698,30,203,2
2072,22,3,2,1,1,2,17631,24,1.547,30,542,2
2073,47,0,0,1,2,1,42343,49,1.678,50,193,0
2074,20,3,2,1,3,2,22684,43,3.099,30,173,2
2075,58,0,0,2,3,1,93645,13,1.678,80,371,1
2076,31,7,2,2,3,3,28483,0,1.307,30,140,2
2077,47,7,0,1,4,1,112700,43,11.305,80,584,4
2078,34,7,1,1,3,3,24495,19,0.709,30,175,2
2079,31,3,2,1,2,3,29948,32,1.951,30,447,2
2080,72,0,0,1,2,1,93277,23,0.798,50,153,1
2081,36,0,1,2,2,3,23783,19,0.893,30,112,2
2082,54,0,0,2,6,1,95554,46,1.013,30,364,1
2083,36,3,1,1,4,3,25811,44,1.192,30,328,2
2084,58,0,0,2,2,1,31407,34,0.994,30,356,2
2085,52,0,0,2,4,1,61433,5,1.17,80,109,3
2086,34,7,1,1,7,3,25682,27,1.1,30,476,2
2087,57,2,0,0,4,1,88753,28,1.228,80,182,1
2088,67,4,0,2,2,1,100098,13,1.541,120,353,1
2089,34,3,1,1,7,3,28572,12,1.583,30,462,2
2090,33,3,1,1,2,3,24387,33,0.893,30,382,2
2091,69,7,0,2,2,1,61275,29,1.15,50,121,3
2092,76,2,0,2,2,1,99122,44,1.58,120,316,1
2093,32,4,1,1,4,3,24758,8,1.33,30,160,2
2094,62,4,0,2,5,1,90801,17,1.209,30,495,1
2095,79,0,0,2,3,0,126151,39,1.424,80,108,4
2096,97,8,0,1,1,0,125755,39,1.502,120,300,4
2097,33,4,1,1,4,3,29452,14,0.824,30,354,2
2098,34,3,1,1,4,3,23228,18,0.732,30,392,2
2099,45,0,0,1,3,1,111374,29,1.169,30,200,4
2100,34,3,1,1,7,3,24130,23,1.468,30,459,2
2101,22,3,2,1,5,2,19058,33,2.168,30,184,2
2102,29,6,2,0,3,3,25856,3,10.635,30,168,2
2103,53,7,0,2,5,1,123001,47,1.541,200,196,4
2104,29,3,2,1,1,3,19885,49,14.085,30,69,2
2105,22,3,2,1,4,2,22680,48,1.995,30,104,2
2106,45,0,0,1,4,1,28175,44,1.008,30,84,2
2107,22,3,2,1,5,2,22385,36,2.202,30,423,2
2108,69,1,0,1,3,1,93666,0,1.541,80,371,1
2109,97,2,0,1,1,0,88475,44,1.639,50,525,1
2110,43,4,0,1,3,3,59086,18,1.215,30,435,0
2111,61,4,0,0,4,1,40832,45,1.6,30,355,0
2112,35,3,1,1,1,3,31908,16,1.698,30,277,2
2113,35,7,1,1,2,3,27447,28,0.847,30,118,2
2114,42,0,0,2,3,3,88877,43,1.813,30,80,1
2115,68,4,0,1,1,1,103894,48,1.658,50,101,1
2116,20,3,2,1,5,2,15367,2,1.236,30,284,2
2117,74,2,0,0,2,1,37175,45,1.737,30,95,0
2118,46,0,0,1,2,1,39470,35,1.619,50,296,0
2119,50,4,0,1,1,1,46146,38,1.091,50,398,0
2120,51,5,0,2,3,1,45806,19,0.896,30,225,0
2121,22,3,2,1,4,2,13657,9,2.651,30,420,2
2122,45,4,0,0,3,1,62136,8,1.767,30,194,3
2123,39,4,1,2,4,3,31913,45,1.859,30,35,2
2124,57,0,0,1,2,1,53463,48,1.756,50,79,0
2125,69,0,0,2,4,1,41378,5,0.661,30,368,0
2126,56,2,0,1,3,1,126391,48,1.756,200,569,4
2127,32,7,1,2,2,3,31002,46,1.215,30,320,2
2128,30,5,2,1,4,3,21925,24,0.801,30,475,2
2129,41,5,1,1,1,3,50186,20,1.606,50,333,0
2130,32,1,1,2,2,3,31007,12,1.514,30,450,2
2131,55,0,0,1,2,1,103098,12,0.603,50,596,1
2132,81,8,0,1,1,0,93481,30,0.681,50,174,1
2133,79,0,0,2,3,0,71855,48,0.818,80,292,3
2134,91,8,0,0,2,0,49958,14,0.603,50,165,0
2135,41,4,1,2,3,3,128857,12,1.376,200,428,4
2136,21,3,2,1,3,2,19653,47,1.167,30,313,2
2137,33,0,1,1,1,3,26157,14,1.514,30,138,2
2138,51,4,0,1,2,1,78269,25,0.681,50,61,3
2139,72,5,0,1,2,1,64180,19,1.15,50,192,3
2140,97,8,0,2,2,0,31408,19,1.697,30,131,2
2141,47,7,0,2,2,1,88497,33,0.642,50,575,1
2142,55,2,0,0,3,1,59008,26,1.17,80,290,0
2143,39,0,1,1,2,3,28646,28,1.399,30,366,2
2144,74,8,0,1,1,1,76963,23,1.541,50,157,3
2145,73,2,0,1,1,1,122568,18,0.818,50,213,4
2146,43,0,0,1,2,3,61146,5,1.146,50,216,3
2147,51,1,0,2,1,1,43172,13,1.365,50,222,0
2148,35,1,1,1,1,3,21135,9,0.686,30,78,2
2149,44,0,0,1,1,1,24350,29,1.974,30,592,2
2150,97,8,0,0,3,0,112587,35,1.346,80,267,4
2151,33,3,1,1,5,3,25728,15,1.905,30,531,2
2152,35,7,1,1,1,3,25885,32,1.077,30,41,2
2153,47,6,0,1,2,1,22449,5,1.326,30,323,2
2154,61,4,0,2,2,1,105324,39,1.619,120,242,1
2155,52,0,0,2,3,1,81698,16,1.072,80,296,3
2156,80,4,0,1,1,0,22352,3,1.619,30,389,2
2157,43,0,0,1,1,3,30669,21,1.951,30,139,2
2158,24,3,2,1,4,2,23524,19,2.513,30,143,2
2159,43,8,0,2,5,3,56520,21,0.686,30,480,0
2160,34,3,1,1,7,3,21493,39,1.698,30,362,2
2161,30,3,2,1,3,3,27534,9,0.893,30,355,2
2162,21,3,2,1,4,2,20578,18,1.616,30,313,2
2163,76,5,0,2,2,1,65675,41,0.622,30,455,3
2164,41,5,1,2,2,3,27691,11,0.686,30,599,2
2165,50,2,0,0,2,1,76895,21,0.837,50,335,3
2166,24,5,2,1,3,2,21103,9,1.857,30,58,2
2167,29,5,2,1,3,3,18480,26,1.857,30,383,2
2168,43,0,0,1,3,3,90561,16,1.1,30,146,1
2169,67,7,0,1,2,1,113612,2,1.502,50,72,4
2170,81,8,0,0,2,0,111880,30,1.385,120,276,4
2171,32,0,1,1,1,3,23658,28,1.261,30,335,2
2172,32,1,1,1,1,3,21462,36,1.146,30,37,2
2173,40,2,1,1,3,3,22083,27,0.916,30,557,2
2174,69,5,0,1,2,1,60849,3,0.955,50,273,3
2175,76,0,0,2,5,1,128435,40,1.6,200,390,4
2176,39,0,1,1,2,3,23165,16,2.02,30,477,2
2177,89,8,0,1,1,0,48885,30,0.857,50,234,0
2178,78,8,0,0,2,1,51350,46,0.661,30,131,0
2179,34,3,1,1,2,3,19614,6,1.698,30,242,2
2180,45,7,0,2,4,1,105813,41,1.008,30,142,1
2181,39,1,1,2,3,3,27197,16,2.066,30,228,2
2182,57,0,0,1,1,1,105310,10,0.661,50,313,1
2183,21,3,2,1,4,2,19527,19,2.064,30,424,2
2184,43,0,0,1,1,3,46541,43,1.031,50,435,0
2185,50,0,0,1,2,1,111749,48,1.385,120,342,4
2186,21,6,2,1,4,2,23005,11,1.926,30,271,2
2187,25,3,2,1,5,2,22316,34,10.635,30,518,2
2188,85,8,0,1,2,0,64944,17,1.717,30,454,3
2189,92,8,0,1,1,0,95820,5,0.915,50,266,1
2190,52,7,0,0,4,1,24499,31,0.681,30,293,2
2191,32,7,1,1,3,3,25621,28,0.732,30,218,2
2192,39,0,1,1,3,3,31504,9,1.721,30,383,2
2193,44,0,0,1,2,1,69146,46,1.468,50,352,3
2194,39,3,1,1,1,3,18554,16,2.043,30,276,2
2195,22,3,2,1,3,2,19915,4,2.685,30,102,2
2196,47,7,0,1,2,1,51932,42,1.561,50,151,0
2197,62,2,0,1,1,1,128689,19,11.305,120,319,4
2198,58,0,0,1,1,1,79127,30,1.306,50,100,3
2199,24,2,2,0,3,2,13587,34,2.375,30,88,2
2200,35,3,1,0,4,3,23588,16,1.399,30,221,2
2201,56,2,0,0,5,1,81304,48,0.642,30,339,3
2202,45,6,0,1,1,1,121030,30,1.123,120,292,4
2203,41,5,1,2,4,3,94451,2,1.008,30,329,1
2204,61,0,0,2,4,1,66090,32,0.818,80,591,3
2205,46,7,0,1,2,1,58718,8,1.189,50,222,0
2206,22,3,2,1,5,2,23716,49,0.995,30,180,2
2207,46,0,0,1,2,1,61307,20,11.305,50,329,3
2208,42,4,0,0,5,3,31762,24,1.468,30,162,2
2209,57,4,0,1,1,1,105576,43,1.404,50,190,1
2210,53,6,0,1,1,1,86735,47,1.072,50,117,1
2211,41,7,1,2,2,3,47051,48,1.422,50,370,0
2212,30,5,2,1,3,3,19196,16,1.192,30,539,2
2213,53,0,0,2,4,1,44524,6,1.365,30,543,0
2214,28,6,2,1,2,3,25665,42,1.616,30,551,2
2215,62,5,0,1,1,1,76118,21,1.502,50,138,3
2216,75,8,0,1,1,1,25149,19,1.678,30,383,2
2217,23,3,2,1,4,2,22257,20,12.015,30,84,2
2218,79,8,0,2,2,0,117824,12,0.876,120,470,4
2219,47,0,0,1,2,1,30481,36,1.424,30,275,2
2220,57,8,0,0,2,1,23905,23,0.583,30,102,2
2221,55,2,0,2,5,1,99358,34,1.561,30,585,1
2222,45,7,0,1,1,1,120710,48,0.985,50,469,4
2223,44,7,0,2,2,1,29016,32,1.169,30,398,2
2224,35,3,1,1,2,3,21048,25,1.997,30,159,2
2225,63,1,0,0,2,1,102749,17,0.994,50,219,1
2226,28,0,2,1,2,3,24739,0,2.616,30,465,2
2227,81,8,0,0,2,0,67499,30,1.639,30,91,3
2228,42,7,0,1,4,3,129746,30,1.146,200,430,4
2229,51,0,0,2,2,1,78011,11,1.052,50,98,3
2230,55,0,0,1,1,1,72334,41,0.603,50,236,3
2231,55,0,0,2,2,1,106106,10,1.404,50,66,1
2232,76,8,0,0,2,1,35563,43,1.209,50,425,2
2233,32,0,1,1,1,3,23658,47,1.813,30,440,2
2234,92,8,0,0,3,0,56043,2,0.681,80,258,0
2235,80,2,0,1,1,0,32886,32,0.603,30,536,2
2236,42,2,0,0,5,3,86275,16,0.732,30,228,1
2237,90,8,0,1,1,0,25665,17,1.033,30,385,2
2238,78,8,0,0,1,1,87405,6,1.267,120,286,1
2239,55,4,0,1,3,1,101250,8,1.639,30,329,1
2240,62,0,0,0,2,1,115345,12,1.365,50,217,4
2241,21,3,2,1,3,2,15464,4,2.099,30,204,2
2242,32,2,1,1,3,3,30622,3,1.859,30,596,2
2243,29,5,2,1,3,3,21365,21,2.237,30,68,2
2244,34,5,1,1,5,3,28881,40,2.066,30,482,2
2245,46,0,0,2,2,1,61803,1,1.189,50,346,3
2246,36,5,1,1,1,3,18716,32,1.56,30,480,2
2247,39,3,1,1,5,3,27102,4,0.87,30,223,2
2248,51,4,0,0,3,1,124225,30,1.111,200,85,4
2249,74,0,0,1,2,1,23673,38,1.541,30,168,2
2250,39,0,1,1,2,3,18421,34,1.468,30,303,2
2251,31,5,2,1,3,3,29722,15,2.02,30,546,2
2252,47,5,0,1,1,1,21512,7,11.305,30,520,2
2253,44,0,0,2,1,1,42238,16,1.905,30,561,0
2254,80,0,0,2,3,0,33106,33,1.385,30,315,2
2255,23,3,2,1,4,2,22533,29,1.512,30,119,2
2256,35,5,1,1,3,3,29504,0,1.1,30,168,2
2257,40,8,1,1,1,3,99501,29,1.123,120,469,1
2258,35,0,1,1,3,3,26157,4,1.79,30,437,2
2259,28,1,2,1,3,3,21774,41,1.616,30,191,2
2260,44,0,0,1,1,1,102785,15,0.663,50,435,1
2261,21,3,2,1,3,2,14729,22,1.374,30,325,2
2262,53,2,0,0,5,1,80316,43,1.248,30,284,3
2263,40,0,1,1,3,3,108924,43,0.686,30,265,4
2264,30,3,2,1,3,3,29362,23,0.916,30,314,2
2265,90,7,0,0,2,0,58621,31,1.639,30,133,0
2266,25,3,2,1,4,2,29021,11,2.961,30,69,2
2267,33,7,1,1,3,3,26065,10,1.215,30,563,2
2268,33,7,1,1,4,3,22541,0,0.824,30,151,2
2269,33,3,1,1,3,3,30153,29,0.916,30,537,2
2270,31,7,2,1,5,3,24154,43,1.031,30,104,2
2271,66,0,0,1,2,1,33715,48,1.267,30,309,2
2272,57,0,0,2,2,1,125161,41,1.424,50,586,4
2273,21,3,2,1,1,2,22205,19,12.705,30,463,2
2274,21,3,2,1,2,2,17575,30,1.374,30,265,2
2275,44,2,0,1,5,1,84666,33,0.847,30,480,1
2276,42,7,0,1,1,3,110067,34,1.974,50,123,4
2277,78,7,0,2,2,1,129948,9,0.779,50,302,4
2278,44,4,0,1,3,1,57263,14,1.445,30,385,0
2279,75,0,0,0,2,1,120328,45,1.052,50,123,4
2280,55,7,0,1,4,1,44242,44,1.091,30,364,0
2281,23,3,2,1,4,2,23520,47,1.685,30,141,2
2282,32,3,1,1,3,3,20463,19,0.755,30,329,2
2283,32,7,1,0,1,3,22137,34,1.031,30,386,2
2284,43,4,0,2,4,3,82380,3,1.307,30,399,3
2285,45,2,0,1,4,1,46201,5,1.284,30,428,0
2286,31,5,2,1,1,3,23565,39,1.767,30,218,2
2287,24,3,2,1,3,2,14681,8,1.995,30,555,2
2288,39,0,1,1,1,3,31970,36,1.399,30,539,2
2289,54,0,0,1,2,1,46346,28,1.541,50,375,0
2290,29,3,2,1,2,3,20023,17,2.237,30,60,2
2291,36,3,1,1,1,3,27034,16,1.514,30,514,2
2292,30,4,2,1,2,3,27017,35,1.422,30,54,2
2293,55,7,0,1,2,1,40595,12,0.622,30,109,0
2294,41,1,1,1,2,3,67144,49,1.123,50,322,3
2295,47,6,0,1,2,1,122750,33,15.215,50,237,4
2296,39,7,1,1,1,3,26156,13,1.376,30,224,2
2297,55,0,0,1,1,1,27028,22,11.305,30,210,2
2298,34,0,1,1,1,3,29201,16,0.755,30,363,2
2299,32,4,1,0,2,3,27206,28,1.031,30,591,2
2300,22,3,2,1,2,2,22214,4,0.995,30,308,2
2301,73,7,0,2,2,1,39625,33,1.111,50,487,0
2302,41,3,1,2,2,3,43488,19,1.928,50,600,0
2303,57,0,0,2,2,1,42824,26,0.564,50,573,0
2304,50,2,0,0,5,1,21622,33,0.974,30,486,2
2305,30,3,2,1,6,3,18934,1,1.859,30,86,2
2306,51,0,0,0,4,1,127842,4,1.306,80,327,4
2307,47,5,0,1,1,1,116531,14,1.756,120,245,4
2308,35,5,1,1,6,3,31307,41,0.962,30,146,2
2309,96,8,0,1,4,0,64455,1,0.818,80,136,3
2310,44,4,0,2,5,1,51186,7,1.077,30,146,0
2311,65,0,0,1,2,1,99301,0,1.619,50,459,1
2312,69,0,0,2,3,1,70845,9,1.756,80,118,3
2313,25,8,2,1,8,2,30042,17,2.754,30,187,2
2314,72,8,0,0,2,1,49243,41,0.974,30,122,0
2315,52,0,0,1,1,1,54232,30,1.052,50,261,0
2316,50,0,0,1,2,1,115168,44,1.404,50,338,4
2317,87,8,0,1,1,0,114506,0,1.424,120,294,4
2318,72,7,0,0,2,1,68914,32,1.58,30,166,3
2319,42,3,0,1,2,3,67598,2,0.663,50,223,3
2320,31,3,2,1,2,3,31383,46,1.077,30,389,2
2321,22,3,2,1,3,2,12889,11,2.927,30,356,2
2322,40,0,1,1,2,3,72345,38,1.491,50,149,3
2323,24,3,2,1,4,2,12877,46,2.133,30,406,2
2324,62,3,0,0,4,1,92594,49,15.215,30,51,1
2325,35,5,1,1,3,3,27305,46,1.077,30,175,2
2326,36,3,1,1,1,3,19148,11,0.916,30,586,2
2327,75,0,0,0,2,1,107134,29,1.228,50,188,1
2328,58,0,0,2,3,1,95528,29,1.15,80,102,1
2329,42,0,0,2,3,3,44069,23,1.951,30,271,0
2330,24,3,2,1,5,2,21180,11,2.202,30,476,2
2331,54,0,0,0,4,1,106281,41,0.837,80,404,1
2332,47,0,0,1,2,1,91759,47,15.215,50,321,1
2333,36,5,1,1,1,3,30395,39,1.422,30,335,2
2334,63,0,0,0,2,1,51058,28,0.72,50,498,0
2335,72,8,0,1,6,1,80945,31,0.896,30,58,3
2336,55,0,0,0,1,1,28522,38,1.502,30,500,2
2337,40,7,1,2,2,3,56728,28,1.238,50,503,0
2338,47,4,0,2,7,1,99207,35,0.564,30,50,1
2339,20,7,2,1,5,2,17436,4,1.616,30,211,2
2340,47,4,0,2,2,1,106421,45,0.994,120,346,1
2341,83,8,0,1,1,0,52562,1,0.72,50,92,0
2342,30,6,2,0,4,3,20736,35,1.629,30,472,2
2343,43,3,0,2,2,3,33032,30,1.077,30,127,2
2344,67,0,0,1,2,1,63987,24,1.561,50,215,3
2345,80,8,0,1,5,0,83702,19,1.717,30,54,3
2346,29,4,2,1,5,3,28161,29,2.306,30,151,2
2347,57,0,0,2,4,1,44213,25,1.561,30,259,0
2348,55,0,0,1,1,1,30312,29,1.346,30,343,2
2349,56,0,0,1,1,1,89742,38,0.642,50,380,1
2350,55,0,0,2,3,1,42513,6,1.482,30,140,0
2351,58,2,0,0,5,1,107857,4,1.541,30,327,4
2352,44,2,0,1,4,1,92809,26,1.813,30,370,1
2353,95,8,0,1,1,0,69862,18,1.697,30,258,3
2354,29,3,2,1,3,3,24452,34,2.237,30,267,2
2355,35,7,1,1,4,3,22417,37,1.169,30,399,2
2356,24,3,2,1,3,2,22809,22,3.03,30,493,2
2357,40,0,1,2,4,3,92391,45,1.261,30,374,1
2358,68,0,0,2,3,1,87363,15,1.502,80,152,1
2359,76,5,0,1,1,1,112078,18,0.955,120,172,4
2360,43,7,0,1,2,3,84092,20,0.709,50,336,1
2361,89,5,0,0,2,0,122041,8,0.915,120,361,4
2362,31,3,2,1,2,3,27344,49,0.962,30,175,2
2363,31,3,2,1,5,3,27296,44,0.962,30,122,2
2364,57,7,0,1,5,1,64637,48,1.267,30,283,3
2365,44,0,0,2,5,1,123189,13,1.997,200,96,4
2366,75,8,0,1,1,1,101103,14,1.326,50,526,1
2367,41,0,1,2,2,3,106792,24,1.192,120,176,1
2368,29,6,2,1,5,3,27532,31,1.65,30,555,2
2369,34,1,1,1,1,3,26538,31,1.238,30,172,2
2370,75,8,0,1,2,1,109062,5,1.697,50,466,4
2371,46,0,0,2,3,1,109368,35,1.033,80,393,4
2372,62,0,0,2,6,1,39363,5,1.561,30,256,0
2373,41,7,1,1,2,3,40142,49,1.675,30,544,0
2374,64,0,0,1,1,1,53727,32,1.365,50,49,0
2375,36,0,1,1,1,3,18719,40,1.514,30,526,2
2376,34,1,1,1,1,3,28542,22,0.801,30,263,2
2377,30,3,2,1,3,3,24387,17,0.778,30,114,2
2378,28,3,2,1,4,3,29260,0,2.202,30,501,2
2379,56,7,0,2,2,1,123012,19,1.385,50,184,4
2380,41,4,1,2,3,3,124112,19,1.422,200,353,4
2381,76,2,0,2,4,1,53407,10,1.346,30,226,0
2382,50,5,0,1,1,1,86655,34,1.639,120,291,1
2383,42,0,0,1,2,3,93235,7,1.399,50,44,1
2384,56,0,0,2,4,1,47970,48,1.737,30,143,0
2385,21,3,2,1,4,2,21057,27,1.65,30,150,2
2386,35,3,1,1,3,3,23815,26,1.951,30,126,2
2387,34,0,1,1,5,3,25487,36,1.146,30,323,2
2388,21,3,2,1,3,2,12685,4,2.513,30,110,2
2389,45,7,0,2,3,1,40422,0,1.997,30,232,0
2390,43,7,0,1,6,3,45705,31,1.169,30,433,0
2391,23,3,2,1,4,2,18344,46,2.168,30,33,2
2392,33,3,1,1,1,3,20464,18,2.043,30,426,2
2393,25,3,2,1,6,2,23195,20,12.705,30,222,2
2394,72,7,0,2,2,1,31409,5,0.955,30,263,2
2395,34,2,1,1,5,3,26185,12,1.169,30,345,2
2396,81,8,0,1,1,0,79330,2,1.326,50,508,3
2397,80,0,0,0,2,0,50157,20,0.681,30,503,0
2398,46,5,0,1,2,1,25243,19,1.6,30,236,2
2399,52,0,0,1,1,1,100523,44,1.365,50,301,1
2400,21,3,2,1,5,2,19194,36,2.892,30,359,2
2401,50,2,0,1,9,1,56120,6,1.756,30,515,0
2402,28,6,2,1,7,3,26538,16,3.099,30,412,2
2403,31,7,2,1,3,3,26544,34,1.56,30,63,2
2404,44,0,0,2,2,1,96424,16,1.905,50,189,1
2405,44,4,0,1,4,1,63431,14,0.755,30,345,3
2406,33,5,1,1,1,3,21472,0,1.031,30,462,2
2407,55,4,0,2,4,1,52940,28,0.564,30,322,0
2408,29,3,2,1,2,3,28904,19,3.065,30,49,2
2409,90,8,0,1,1,0,63084,16,0.74,50,306,3
2410,36,3,1,1,2,3,23399,23,0.939,30,370,2
2411,55,6,0,1,2,1,67691,13,1.6,30,146,3
2412,91,8,0,1,1,0,116273,36,0.681,120,214,4
2413,41,0,1,1,1,3,39225,22,1.882,50,366,0
2414,41,0,1,2,2,3,37727,32,0.755,50,434,0
2415,61,8,0,0,3,1,24128,14,1.091,30,519,2
2416,67,0,0,1,2,1,39212,48,1.639,50,445,0
2417,43,0,0,1,1,3,24428,33,1.353,30,400,2
2418,44,0,0,1,2,1,30265,28,1.376,30,156,2
2419,61,0,0,1,1,1,46091,7,0.798,50,131,0
2420,55,3,0,2,1,1,85117,33,0.681,50,380,1
2421,29,5,2,1,3,3,24781,12,1.892,30,580,2
